"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.166518040E-1,2.190768719E-3,4.387974739E-3,7.975101471E-2
9.266592490E-1,9.936690331E-4,3.190875053E-3,1.120719910E-1
9.366586640E-1,9.936690331E-4,-4.004240036E-4,1.060867310E-1
9.466628720E-1,2.661675215E-3,5.515396595E-3,9.474372864E-2
9.566632640E-1,3.128707409E-3,6.305217743E-3,1.154088974E-1
9.666827870E-1,2.792716026E-3,5.865633488E-3,1.047344208E-1
9.767069330E-1,3.989845514E-3,5.865633488E-3,9.994602203E-2
9.866811410E-1,2.584934235E-3,5.916178226E-3,1.007194519E-1
9.967005520E-1,7.373332977E-3,9.507477283E-3,1.031141281E-1
1.006685354E0,2.584934235E-3,7.113277912E-3,1.090993881E-1
1.016671082E0,9.767532349E-3,-6.932020187E-5,9.593105316E-2
1.026662946E0,8.570432663E-3,1.070457697E-2,8.994579315E-2
1.036653974E0,-4.597693682E-3,1.429587603E-2,1.102962494E-1
1.046649392E0,1.096463203E-2,1.309877634E-2,1.102962494E-1
1.056698543E0,2.584934235E-3,7.113277912E-3,1.031141281E-1
1.066854330E0,1.335883141E-2,1.070457697E-2,1.090993881E-1
1.076761281E0,1.387834549E-3,-6.932020187E-5,1.186761856E-1
1.086708545E0,1.907348633E-4,1.309877634E-2,1.055078506E-1
1.096689754E0,3.782033920E-3,1.070457697E-2,1.102962494E-1
1.106678917E0,4.979133606E-3,9.507477283E-3,1.150846481E-1
1.116667094E0,1.387834549E-3,-6.932020187E-5,1.043109894E-1
1.126658375E0,1.387834549E-3,7.113277912E-3,9.233951569E-2
1.136679804E0,9.767532349E-3,5.916178226E-3,1.126909256E-1
1.146701076E0,4.979133606E-3,1.127779484E-3,1.210699081E-1
1.156680039E0,1.387834549E-3,3.521978855E-3,1.031141281E-1
1.166665617E0,4.979133606E-3,7.113277912E-3,9.353733063E-2
1.176667194E0,-4.597693682E-3,9.507477283E-3,9.353733063E-2
1.186659694E0,-1.006364822E-3,9.507477283E-3,1.055078506E-1
1.196669117E0,2.584934235E-3,4.719078541E-3,1.079025269E-1
1.206670502E0,1.455593109E-2,1.070457697E-2,1.007194519E-1
1.216663829E0,4.979133606E-3,1.190167665E-2,1.007194519E-1
1.226662204E0,-2.203464508E-3,1.190167665E-2,1.138877869E-1
1.236655584E0,1.096463203E-2,7.113277912E-3,1.114931107E-1
1.246651408E0,3.782033920E-3,7.113277912E-3,1.102962494E-1
1.256694205E0,2.584934235E-3,4.719078541E-3,1.007194519E-1
1.266675623E0,1.216173172E-2,8.310377598E-3,9.712791443E-2
1.276696678E0,1.096463203E-2,1.190167665E-2,1.090993881E-1
1.286702455E0,3.782033920E-3,1.669007540E-2,1.114931107E-1
1.296681113E0,9.767532349E-3,7.113277912E-3,1.055078506E-1
1.306671231E0,1.387834549E-3,7.113277912E-3,8.874893188E-2
1.316660732E0,-5.794793367E-3,1.190167665E-2,1.043109894E-1
1.326657944E0,4.979133606E-3,1.908427477E-2,1.079025269E-1
1.336680319E0,1.455593109E-2,1.669007540E-2,1.174793243E-1
1.346667295E0,-1.006364822E-3,1.190167665E-2,1.114931107E-1
1.356674572E0,-6.991893053E-3,8.310377598E-3,8.156585693E-2
1.366664902E0,2.584934235E-3,1.190167665E-2,1.031141281E-1
1.376667125E0,1.387834549E-3,1.669007540E-2,1.150846481E-1
1.386660544E0,3.782033920E-3,-1.266419888E-3,1.031141281E-1
1.396664638E0,-3.400564194E-3,1.070457697E-2,1.031141281E-1
1.406663243E0,4.979133606E-3,5.916178226E-3,8.874893188E-2
1.416680699E0,2.584934235E-3,7.113277912E-3,8.396053314E-2
1.426701466E0,3.782033920E-3,1.309877634E-2,1.234645844E-1
1.436683349E0,8.570432663E-3,-3.660619259E-3,1.019163132E-1
1.446680906E0,4.979133606E-3,7.113277912E-3,9.114265442E-2
1.456671339E0,1.907348633E-4,1.309877634E-2,9.473419189E-2
1.466667363E0,-2.203464508E-3,4.719078541E-3,1.150846481E-1
1.476666413E0,-5.794793367E-3,9.507477283E-3,1.043109894E-1
1.486660169E0,-6.991893053E-3,5.916178226E-3,1.007194519E-1
1.496658489E0,-9.386092424E-3,4.719078541E-3,8.396053314E-2
1.506658265E0,1.907348633E-4,4.719078541E-3,8.994579315E-2
1.516685153E0,1.907348633E-4,8.310377598E-3,1.043109894E-1
1.526700250E0,-2.203464508E-3,4.719078541E-3,1.174793243E-1
1.536704587E0,6.176233292E-3,8.310377598E-3,1.114931107E-1
1.546720737E0,8.570432663E-3,2.324879169E-3,1.007194519E-1
1.556742196E0,4.979133606E-3,4.719078541E-3,1.007194519E-1
1.566698849E0,7.373332977E-3,4.719078541E-3,1.067047119E-1
1.576682560E0,1.387834549E-3,1.669007540E-2,1.102962494E-1
1.586667781E0,1.907348633E-4,1.127779484E-3,1.067047119E-1
1.596676564E0,-5.794793367E-3,1.070457697E-2,9.952259064E-2
1.606667302E0,-1.058319211E-2,5.916178226E-3,1.055078506E-1
1.616662460E0,-3.400564194E-3,1.669007540E-2,1.043109894E-1
1.626694712E0,-5.794793367E-3,9.507477283E-3,1.198730469E-1
1.636704684E0,-1.058319211E-2,9.507477283E-3,1.079025269E-1
1.646685362E0,-3.400564194E-3,7.113277912E-3,9.473419189E-2
1.656675682E0,1.907348633E-4,1.127779484E-3,8.755111694E-2
1.666667265E0,1.096463203E-2,1.549297571E-2,1.019163132E-1
1.676665941E0,1.216173172E-2,1.190167665E-2,1.031141281E-1
1.686656471E0,1.695013046E-2,2.324879169E-3,9.114265442E-2
1.696659506E0,9.767532349E-3,8.310377598E-3,1.090993881E-1
1.706652542E0,1.387834549E-3,7.113277912E-3,9.114265442E-2
1.716663618E0,8.570432663E-3,1.429587603E-2,1.150846481E-1
1.726664175E0,-1.006364822E-3,1.549297571E-2,1.138877869E-1
1.736661204E0,-1.006364822E-3,3.521978855E-3,1.114931107E-1
1.746662218E0,1.387834549E-3,3.521978855E-3,1.126909256E-1
1.756660379E0,-8.188992739E-3,7.113277912E-3,1.031141281E-1
1.766654902E0,2.584934235E-3,1.788717508E-2,9.353733063E-2
1.776667894E0,-3.400564194E-3,1.309877634E-2,1.067047119E-1
1.786669255E0,9.767532349E-3,8.310377598E-3,1.067047119E-1
1.796694282E0,1.907348633E-4,3.521978855E-3,1.055078506E-1
1.806674930E0,3.782033920E-3,3.521978855E-3,1.079025269E-1
1.816693773E0,-1.006364822E-3,7.113277912E-3,9.473419189E-2
1.826710983E0,2.584934235E-3,9.507477283E-3,1.007194519E-1
1.836687608E0,8.570432663E-3,8.310377598E-3,1.055078506E-1
1.846670786E0,1.387834549E-3,1.070457697E-2,1.102962494E-1
1.856660605E0,-6.991893053E-3,7.113277912E-3,1.055078506E-1
1.866662688E0,-2.203464508E-3,1.190167665E-2,9.832572937E-2
1.876675595E0,-4.597693682E-3,1.070457697E-2,9.233951569E-2
1.886663067E0,1.216173172E-2,1.309877634E-2,1.019163132E-1
1.896657419E0,-1.006364822E-3,9.507477283E-3,1.055078506E-1
1.906727633E0,-2.203464508E-3,7.113277912E-3,1.079025269E-1
1.916692606E0,2.584934235E-3,1.070457697E-2,1.090993881E-1
1.926678592E0,3.782033920E-3,5.916178226E-3,1.102962494E-1
1.936696412E0,6.176233292E-3,3.521978855E-3,8.755111694E-2
1.946672995E0,8.570432663E-3,8.310377598E-3,9.712791443E-2
1.956666383E0,1.907348633E-4,1.127779484E-3,1.067047119E-1
1.966677442E0,2.584934235E-3,1.127779484E-3,1.019163132E-1
1.976672741E0,4.979133606E-3,7.113277912E-3,8.755111694E-2
1.986665487E0,1.387834549E-3,9.507477283E-3,1.067047119E-1
1.996659033E0,-3.400564194E-3,2.324879169E-3,1.102962494E-1
2.006664556E0,2.584934235E-3,5.916178226E-3,1.019163132E-1
2.016658144E0,-1.006364822E-3,1.190167665E-2,1.126909256E-1
2.026691438E0,-1.006364822E-3,7.113277912E-3,9.712791443E-2
2.036672085E0,-1.006364822E-3,7.113277912E-3,9.593105316E-2
2.046664274E0,9.767532349E-3,5.916178226E-3,1.007194519E-1
2.056682561E0,7.373332977E-3,1.669007540E-2,1.007194519E-1
2.066691108E0,3.782033920E-3,7.113277912E-3,1.150846481E-1
2.076673574E0,3.782033920E-3,1.190167665E-2,8.874893188E-2
2.086689230E0,-3.400564194E-3,1.070457697E-2,9.593105316E-2
2.096683327E0,2.584934235E-3,1.190167665E-2,9.233951569E-2
2.106739010E0,3.782033920E-3,7.113277912E-3,1.055078506E-1
2.116707102E0,7.373332977E-3,4.719078541E-3,1.090993881E-1
2.126715148E0,1.387834549E-3,7.113277912E-3,1.234645844E-1
2.136708479E0,7.373332977E-3,5.916178226E-3,9.353733063E-2
2.146682086E0,-3.400564194E-3,1.127779484E-3,9.593105316E-2
2.156674005E0,3.782033920E-3,1.309877634E-2,1.019163132E-1
2.166697080E0,7.373332977E-3,8.310377598E-3,1.007194519E-1
2.176681291E0,1.387834549E-3,1.127779484E-3,1.055078506E-1
2.186675531E0,8.570432663E-3,3.521978855E-3,9.233951569E-2
2.196662824E0,3.782033920E-3,3.521978855E-3,1.090993881E-1
2.206720316E0,1.907348633E-4,7.113277912E-3,9.353733063E-2
2.216711986E0,1.096463203E-2,1.190167665E-2,9.952259064E-2
2.226719494E0,-4.597693682E-3,5.916178226E-3,1.102962494E-1
2.236697151E0,8.570432663E-3,8.310377598E-3,1.079025269E-1
2.246678903E0,2.584934235E-3,3.521978855E-3,9.353733063E-2
2.256691318E0,6.176233292E-3,1.669007540E-2,1.079025269E-1
2.266704717E0,-3.400564194E-3,1.429587603E-2,1.043109894E-1
2.276687609E0,2.584934235E-3,1.429587603E-2,1.007194519E-1
2.286670286E0,2.584934235E-3,1.309877634E-2,1.031141281E-1
2.296660605E0,6.176233292E-3,8.310377598E-3,1.079025269E-1
2.306657322E0,2.584934235E-3,4.719078541E-3,1.055078506E-1
2.316662546E0,3.782033920E-3,4.719078541E-3,9.832572937E-2
2.326695677E0,-2.203464508E-3,9.507477283E-3,1.067047119E-1
2.336675339E0,2.584934235E-3,1.190167665E-2,1.043109894E-1
2.346672689E0,-3.400564194E-3,1.309877634E-2,9.952259064E-2
2.356666441E0,7.373332977E-3,5.916178226E-3,9.832572937E-2
2.366668336E0,1.387834549E-3,8.310377598E-3,1.019163132E-1
2.376674534E0,1.216173172E-2,5.916178226E-3,9.353733063E-2
2.386665575E0,7.373332977E-3,1.309877634E-2,1.150846481E-1
2.396690269E0,8.570432663E-3,7.113277912E-3,1.055078506E-1
2.406673289E0,4.979133606E-3,9.507477283E-3,1.019163132E-1
2.416699703E0,-5.794793367E-3,3.521978855E-3,9.712791443E-2
2.426692621E0,1.907348633E-4,3.521978855E-3,1.114931107E-1
2.436672330E0,-2.203464508E-3,9.507477283E-3,1.102962494E-1
2.446667069E0,-2.203464508E-3,3.521978855E-3,1.007194519E-1
2.456665516E0,-1.006364822E-3,8.310377598E-3,1.126909256E-1
2.466722643E0,3.782033920E-3,3.521978855E-3,1.079025269E-1
2.476699495E0,-6.991893053E-3,8.310377598E-3,1.043109894E-1
2.486677075E0,6.176233292E-3,3.521978855E-3,9.952259064E-2
2.496663307E0,4.979133606E-3,2.147847414E-2,1.055078506E-1
2.506657673E0,7.373332977E-3,1.429587603E-2,1.031141281E-1
2.516654299E0,3.782033920E-3,4.719078541E-3,9.832572937E-2
2.526657477E0,1.216173172E-2,4.719078541E-3,8.994579315E-2
2.536656104E0,9.767532349E-3,9.507477283E-3,1.090993881E-1
2.546658745E0,1.387834549E-3,9.507477283E-3,1.067047119E-1
2.556656892E0,4.979133606E-3,1.309877634E-2,1.019163132E-1
2.566656081E0,1.096463203E-2,3.521978855E-3,9.832572937E-2
2.576668118E0,2.584934235E-3,-6.932020187E-5,1.019163132E-1
2.586662963E0,9.767532349E-3,3.521978855E-3,9.233951569E-2
2.596663213E0,1.907348633E-4,4.719078541E-3,1.079025269E-1
2.606708069E0,1.387834549E-3,1.070457697E-2,1.031141281E-1
2.616684150E0,2.584934235E-3,9.507477283E-3,9.233951569E-2
2.626675672E0,1.907348633E-4,8.310377598E-3,9.952259064E-2
2.636668606E0,1.387834549E-3,1.429587603E-2,1.138877869E-1
2.646669611E0,8.570432663E-3,1.309877634E-2,9.712791443E-2
2.656661460E0,7.373332977E-3,4.719078541E-3,1.090993881E-1
2.666684192E0,2.584934235E-3,1.070457697E-2,1.055078506E-1
2.676684308E0,6.176233292E-3,3.521978855E-3,9.593105316E-2
2.686776347E0,7.373332977E-3,1.309877634E-2,9.114265442E-2
2.696712328E0,4.979133606E-3,4.719078541E-3,1.186761856E-1
2.706681838E0,4.979133606E-3,2.324879169E-3,1.102962494E-1
2.716675689E0,-1.006364822E-3,-2.463519573E-3,9.832572937E-2
2.726747499E0,1.387834549E-3,1.549297571E-2,9.353733063E-2
2.736699000E0,6.176233292E-3,1.549297571E-2,8.874893188E-2
2.746685135E0,1.096463203E-2,1.309877634E-2,1.126909256E-1
2.756670760E0,-4.597693682E-3,2.324879169E-3,1.031141281E-1
2.766666630E0,1.907348633E-4,1.070457697E-2,8.396053314E-2
2.776667623E0,6.176233292E-3,4.719078541E-3,8.755111694E-2
2.786686312E0,1.934432983E-2,8.310377598E-3,1.150846481E-1
2.796672060E0,1.387834549E-3,1.429587603E-2,1.031141281E-1
2.806663723E0,-2.203464508E-3,4.719078541E-3,9.353733063E-2
