"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.767069330E-1,2.609679997E-1,5.722141862E-1,9.886856079E0
9.866811410E-1,2.669534981E-1,5.614402890E-1,9.888052940E0
9.967005520E-1,2.717418969E-1,5.650315881E-1,9.890447617E0
1.006685354E0,2.669534981E-1,5.626373887E-1,9.896432877E0
1.016671082E0,2.741360962E-1,5.554547906E-1,9.883264542E0
1.026662946E0,2.729389966E-1,5.662286878E-1,9.877279282E0
1.036653974E0,2.597708702E-1,5.698199868E-1,9.897629738E0
1.046649392E0,2.753331959E-1,5.686228871E-1,9.897629738E0
1.056698543E0,2.669534981E-1,5.626373887E-1,9.890447617E0
1.066854330E0,2.777273953E-1,5.662286878E-1,9.896432877E0
1.076761281E0,2.657563984E-1,5.554547906E-1,9.906009674E0
1.086708545E0,2.645592988E-1,5.686228871E-1,9.892841339E0
1.096689754E0,2.681505978E-1,5.662286878E-1,9.897629738E0
1.106678917E0,2.693476975E-1,5.650315881E-1,9.902418137E0
1.116667094E0,2.657563984E-1,5.554547906E-1,9.891644478E0
1.126658375E0,2.657563984E-1,5.626373887E-1,9.879673004E0
1.136679804E0,2.741360962E-1,5.614402890E-1,9.900024414E0
1.146701076E0,2.693476975E-1,5.566518903E-1,9.908403397E0
1.156680039E0,2.657563984E-1,5.590460896E-1,9.890447617E0
1.166665617E0,2.693476975E-1,5.626373887E-1,9.880870819E0
1.176667194E0,2.597708702E-1,5.650315881E-1,9.880870819E0
1.186659694E0,2.633621991E-1,5.650315881E-1,9.892841339E0
1.196669117E0,2.669534981E-1,5.602431893E-1,9.895236015E0
1.206670502E0,2.789244950E-1,5.662286878E-1,9.888052940E0
1.216663829E0,2.693476975E-1,5.674257874E-1,9.888052940E0
1.226662204E0,2.621650994E-1,5.674257874E-1,9.901221275E0
1.236655584E0,2.753331959E-1,5.626373887E-1,9.898826599E0
1.246651408E0,2.681505978E-1,5.626373887E-1,9.897629738E0
1.256694205E0,2.669534981E-1,5.602431893E-1,9.888052940E0
1.266675623E0,2.765302956E-1,5.638344884E-1,9.884461403E0
1.276696678E0,2.753331959E-1,5.674257874E-1,9.896432877E0
1.286702455E0,2.681505978E-1,5.722141862E-1,9.898826599E0
1.296681113E0,2.741360962E-1,5.626373887E-1,9.892841339E0
1.306671231E0,2.657563984E-1,5.626373887E-1,9.876082420E0
1.316660732E0,2.585737705E-1,5.674257874E-1,9.891644478E0
1.326657944E0,2.693476975E-1,5.746083856E-1,9.895236015E0
1.336680319E0,2.789244950E-1,5.722141862E-1,9.904812813E0
1.346667295E0,2.633621991E-1,5.674257874E-1,9.898826599E0
1.356674572E0,2.573766708E-1,5.638344884E-1,9.868899345E0
1.366664902E0,2.669534981E-1,5.674257874E-1,9.890447617E0
1.376667125E0,2.657563984E-1,5.722141862E-1,9.902418137E0
1.386660544E0,2.681505978E-1,5.542576909E-1,9.890447617E0
1.396664638E0,2.609679997E-1,5.662286878E-1,9.890447617E0
1.406663243E0,2.693476975E-1,5.614402890E-1,9.876082420E0
1.416680699E0,2.669534981E-1,5.626373887E-1,9.871294022E0
1.426701466E0,2.681505978E-1,5.686228871E-1,9.910798073E0
1.436683349E0,2.729389966E-1,5.518634915E-1,9.889249802E0
1.446680906E0,2.693476975E-1,5.626373887E-1,9.878476143E0
1.456671339E0,2.645592988E-1,5.686228871E-1,9.882067680E0
1.466667363E0,2.621650994E-1,5.602431893E-1,9.902418137E0
1.476666413E0,2.585737705E-1,5.650315881E-1,9.891644478E0
1.486660169E0,2.573766708E-1,5.614402890E-1,9.888052940E0
1.496658489E0,2.549824715E-1,5.602431893E-1,9.871294022E0
1.506658265E0,2.645592988E-1,5.602431893E-1,9.877279282E0
1.516685153E0,2.645592988E-1,5.638344884E-1,9.891644478E0
1.526700250E0,2.621650994E-1,5.602431893E-1,9.904812813E0
1.536704587E0,2.705447972E-1,5.638344884E-1,9.898826599E0
1.546720737E0,2.729389966E-1,5.578489900E-1,9.888052940E0
1.556742196E0,2.693476975E-1,5.602431893E-1,9.888052940E0
1.566698849E0,2.717418969E-1,5.602431893E-1,9.894038200E0
