"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.766760310E-1,-1.029506698E-1,2.280477047E0,9.428366661E0
9.866892670E-1,-4.106055796E-1,2.415749550E0,9.609128952E0
9.968297510E-1,-5.446808934E-1,2.433706045E0,9.974244118E0
1.006771281E0,-2.394201756E-1,2.318784237E0,1.033457184E1
1.016716219E0,-1.304839998E-1,2.375048161E0,1.026154804E1
1.026688150E0,-2.609679997E-1,2.257732153E0,9.917980194E0
1.036702769E0,-1.209071875E-1,2.154781580E0,9.568427086E0
1.046720155E0,-6.823474914E-2,2.256535053E0,9.290699959E0
1.056693291E0,-3.232172132E-2,2.267308950E0,9.415198326E0
1.066681724E0,-7.541735470E-2,2.206256866E0,9.514557838E0
1.076703460E0,-8.020575345E-2,2.275688648E0,9.415198326E0
1.086676886E0,-1.651999205E-1,2.361880064E0,9.326612473E0
1.096671983E0,-2.466027737E-1,2.353500366E0,9.215282440E0
1.106669147E0,-2.765302956E-1,2.286462545E0,9.357737541E0
1.116678902E0,-1.640028208E-1,2.230198860E0,9.544485092E0
1.126681760E0,-2.861070931E-1,2.252943754E0,9.583989143E0
1.136665286E0,-3.938461840E-1,2.188300371E0,9.428366661E0
1.146665799E0,-2.873041928E-1,2.154781580E0,9.465476036E0
1.156678305E0,-4.177882075E-1,2.251746655E0,9.692925453E0
1.166667443E0,-4.405331016E-1,2.264914751E0,1.003409958E1
1.176654916E0,-3.974374831E-1,2.173935175E0,1.016578007E1
1.186665575E0,-4.393360019E-1,2.239775658E0,1.012867069E1
1.196659558E0,-3.711012602E-1,2.303221941E0,1.017296314E1
1.206669242E0,-2.286462635E-1,2.229001760E0,9.932345390E0
1.216657680E0,-2.094926536E-1,2.197877169E0,9.801861763E0
1.226666380E0,-1.448491961E-1,2.305616140E0,9.578003883E0
1.236674615E0,-1.592144072E-1,2.323572636E0,9.337387085E0
1.246665059E0,-8.858546615E-2,2.246958256E0,9.459490776E0
1.256683897E0,-6.224924326E-2,2.209848166E0,9.568427086E0
1.266717373E0,-1.508347094E-1,2.297236443E0,9.434351921E0
1.276724707E0,-1.592144072E-1,2.337938070E0,9.247604370E0
1.286701951E0,-1.161187813E-1,2.304419041E0,9.241618156E0
1.296711362E0,-6.943184882E-2,2.248155355E0,9.470264435E0
1.306859298E0,-1.975216419E-1,2.251746655E0,9.753977776E0
1.316771112E0,-2.693476975E-1,2.242169857E0,9.725247383E0
1.326719673E0,-1.795651317E-1,2.205059767E0,9.991003990E0
1.336705261E0,-1.065419763E-1,2.195482969E0,9.878476143E0
1.346682594E0,-2.298433632E-1,2.195482969E0,9.654618263E0
1.356669933E0,-2.753331959E-1,2.231395960E0,9.593565941E0
1.366683526E0,-3.280056417E-1,2.292448044E0,9.696516991E0
1.376703861E0,-3.758896589E-1,2.281674147E0,9.544485092E0
1.386676663E0,-2.681505978E-1,2.221819162E0,9.188945770E0
1.396701199E0,-1.508347094E-1,2.211045265E0,9.288305283E0
1.406698851E0,-1.771709323E-1,2.234987259E0,9.473855972E0
1.416683773E0,-2.286462635E-1,2.302024841E0,9.415198326E0
1.426668177E0,-3.076549172E-1,2.251746655E0,9.476250648E0
1.436662032E0,-3.459621370E-1,2.221819162E0,9.752780914E0
1.446672133E0,-3.639186621E-1,2.238578558E0,1.014423275E1
1.456667145E0,-3.591302633E-1,2.316390038E0,1.047822380E1
1.466670016E0,-2.633621991E-1,2.224213362E0,1.016218948E1
1.476685913E0,-1.975216419E-1,2.171540976E0,9.783905029E0
1.486673516E0,-1.999158412E-1,2.208651066E0,9.502586365E0
1.496669644E0,-1.903390288E-1,2.252943754E0,9.329007149E0
1.506659516E0,-2.059013397E-1,2.321178436E0,9.326612473E0
1.516659202E0,-2.789244950E-1,2.361880064E0,9.331400871E0
1.526678641E0,-3.196259141E-1,2.310404539E0,9.352949142E0
1.536674937E0,-1.999158412E-1,2.351106167E0,9.701305389E0
1.546678278E0,-3.136404157E-1,2.382230759E0,9.964667320E0
1.556667910E0,-3.411737382E-1,2.371456861E0,1.011789608E1
1.566697649E0,-1.568202078E-1,2.335543871E0,1.003409958E1
1.576703865E0,-1.376665980E-1,2.288856745E0,9.841365814E0
1.586685203E0,-1.113303825E-1,2.291250944E0,9.730035782E0
1.596703430E0,-1.699883193E-1,2.385822058E0,9.652224541E0
1.606706197E0,-2.035071403E-1,2.376245260E0,9.605537415E0
1.616712946E0,-3.208230138E-1,2.425326347E0,1.006522369E1
1.626694725E0,-2.908954918E-1,2.487575531E0,1.016578007E1
1.636676729E0,-3.435679376E-1,2.501940727E0,9.357737541E0
1.646675251E0,-3.339911401E-1,2.501940727E0,9.009381294E0
1.656697877E0,-1.687912196E-1,2.427720547E0,9.145850182E0
1.666694305E0,-5.267243832E-2,2.475604534E0,9.605537415E0
1.676684231E0,-1.771709323E-1,2.659958124E0,1.019810200E1
1.686708329E0,-2.549824715E-1,2.586935043E0,1.007001209E1
1.696718204E0,-1.879448295E-1,2.535459518E0,9.883264542E0
1.706715104E0,-9.457096457E-2,2.446874142E0,9.479841232E0
1.716695284E0,-9.576806799E-3,2.454056740E0,9.147047997E0
1.726704586E0,-7.422025502E-2,2.536656618E0,8.825027466E0
1.736692929E0,-2.705447972E-1,2.448071241E0,8.880094528E0
1.746704793E0,-2.609679997E-1,2.398990154E0,9.125499725E0
1.756684206E0,-2.801215947E-1,2.521094322E0,9.437943459E0
1.766689528E0,-2.741360962E-1,2.625242233E0,9.607931137E0
1.776687496E0,-7.900865376E-2,2.542642117E0,9.714473724E0
1.786723346E0,-5.985504389E-2,2.466027737E0,9.838972092E0
1.796727251E0,-1.496376097E-1,2.466027737E0,9.715670586E0
1.806719050E0,-1.927332431E-1,2.516305923E0,9.475052834E0
1.816733488E0,-1.987187415E-1,2.561795712E0,9.380482674E0
1.826707207E0,-1.580173075E-1,2.541445017E0,9.339780807E0
1.836793278E0,-4.070143029E-2,2.455253839E0,9.009381294E0
1.846769429E0,-9.097966552E-2,2.398990154E0,8.917203903E0
1.856740139E0,-1.412578970E-1,2.409764051E0,9.179368973E0
1.866699686E0,-1.687912196E-1,2.450465441E0,9.340977669E0
1.876706018E0,-1.927332431E-1,2.488772631E0,9.550470352E0
1.886708510E0,-4.309562966E-2,2.425326347E0,9.652224541E0
1.896725603E0,3.950432688E-2,2.416946650E0,9.595960617E0
1.906704861E0,-1.316810958E-2,2.485181332E0,9.572018623E0
1.916715259E0,-9.217676520E-2,2.529474020E0,9.536105156E0
1.926711785E0,-1.149216816E-1,2.504334927E0,9.388861656E0
1.936723932E0,-1.256955862E-1,2.521094322E0,9.285911560E0
1.946701333E0,-8.020575345E-2,2.517503023E0,9.397241592E0
1.956680918E0,-4.548983276E-2,2.432508945E0,9.659406662E0
1.966698980E0,6.943184882E-2,2.398990154E0,9.685743332E0
1.976683261E0,5.506663769E-2,2.464830637E0,9.339780807E0
1.986684555E0,-1.436521020E-2,2.440888643E0,9.677363396E0
1.996680183E0,-7.781155407E-2,2.507926226E0,9.944316864E0
2.006669285E0,-3.591302410E-2,2.619256735E0,1.005564690E1
2.016703144E0,8.379705995E-2,2.591723442E0,9.932345390E0
2.026713381E0,3.950432688E-2,2.616862535E0,9.652224541E0
2.036699403E0,-4.668693244E-2,2.656366825E0,9.423578262E0
2.046716491E0,4.668693244E-2,2.567781210E0,9.180566788E0
2.056696228E0,1.197100878E-1,2.548627615E0,9.406818390E0
2.066709904E0,-3.471592441E-2,2.549824715E0,9.719262123E0
2.076683626E0,-9.816227108E-2,2.559401512E0,9.926360130E0
2.086697757E0,-1.436521020E-2,2.547430515E0,1.009515190E1
2.096741053E0,6.584054977E-2,2.531868219E0,1.015380955E1
2.106701393E0,9.935937077E-2,2.523488522E0,9.962273598E0
2.116715102E0,8.619125932E-2,2.507926226E0,9.641449928E0
2.126695360E0,5.985504389E-2,2.485181332E0,9.649829865E0
2.136769104E0,3.471592441E-2,2.535459518E0,9.856928825E0
2.146730188E0,-3.471592441E-2,2.656366825E0,9.743204117E0
2.156704211E0,-6.703764945E-2,2.643198729E0,9.385271072E0
2.166710357E0,1.675941236E-2,2.545036316E0,9.271546364E0
2.176719372E0,-2.873042040E-2,2.521094322E0,9.282320023E0
2.186728841E0,-8.259996027E-2,2.574964046E0,9.385271072E0
2.196704672E0,-5.506663769E-2,2.570175409E0,9.289502144E0
2.206710972E0,5.626374111E-2,2.474407434E0,9.424775124E0
2.216722680E0,1.747767180E-1,2.359485865E0,9.655815125E0
2.226728745E0,1.017535701E-1,2.383427858E0,9.902418137E0
2.236725989E0,1.077390742E-2,2.497152328E0,9.876082420E0
2.246739265E0,-3.591302549E-3,2.461239338E0,9.683348656E0
2.256730057E0,7.422025502E-2,2.433706045E0,9.591172218E0
2.266734011E0,-2.513911761E-2,2.451662540E0,9.533711433E0
2.276704738E0,2.274491638E-2,2.534262419E0,9.586383820E0
2.286693063E0,5.506663769E-2,2.501940727E0,9.573215485E0
2.296690533E0,-6.105214357E-2,2.448071241E0,8.953117371E0
2.306678402E0,-8.978256583E-2,2.456450939E0,9.058462143E0
2.316693318E0,-1.436520964E-1,2.390610456E0,9.382876396E0
2.326700218E0,2.633621916E-2,2.268506050E0,9.821015358E0
2.336711764E0,1.412578970E-1,2.206256866E0,1.007240677E1
2.346718133E0,1.161187813E-1,2.313995838E0,1.004128170E1
2.356689145E0,2.298433632E-1,2.322375536E0,9.943120003E0
2.366684093E0,2.418143749E-1,2.218227863E0,9.793481827E0
2.376699317E0,2.681505978E-1,2.212242365E0,9.612719536E0
2.386684717E0,2.693476975E-1,2.278082848E0,9.591172218E0
2.396685687E0,2.035071403E-1,2.327163935E0,9.652224541E0
2.406678652E0,6.703764945E-2,2.357091665E0,9.532513618E0
2.416686212E0,-3.196259141E-1,2.475604534E0,9.066842079E0
2.426708953E0,-1.185129806E-1,2.546233416E0,9.021351814E0
2.436726305E0,1.077390742E-2,2.402581453E0,9.414001465E0
2.446697519E0,1.831564307E-1,2.309207439E0,9.709685326E0
