"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.867027310E-1,3.238397837E-2,1.662492752E-1,6.327705383E-1
7.967256560E-1,3.028267622E-2,2.300956249E-1,9.077396393E-1
8.067310030E-1,4.144057631E-2,2.370431423E-1,9.316616058E-1
8.167056570E-1,5.665898323E-2,2.668030262E-1,1.012654305E0
8.266833300E-1,4.548281431E-2,2.281835079E-1,8.468570709E-1
8.367017630E-1,1.987296343E-2,1.444523335E-1,5.188627243E-1
8.466870950E-1,-5.396395922E-3,-5.381727219E-2,-1.830053329E-1
8.567473380E-1,-3.564700484E-2,-1.894307137E-1,-6.701993942E-1
8.667097670E-1,-4.039570689E-2,-2.099859715E-1,-7.933883667E-1
8.767080390E-1,-1.990544796E-2,-9.718298912E-2,-3.631181717E-1
8.867291750E-1,4.201143980E-3,4.432535172E-2,1.672525406E-1
8.967016470E-1,-2.902265638E-3,1.259992123E-1,4.684238434E-1
9.066813060E-1,-5.981907248E-3,1.394951344E-1,5.271739960E-1
9.166746930E-1,1.300412696E-4,1.524751186E-1,5.827388763E-1
9.266705210E-1,8.454225957E-3,1.808488369E-1,7.665567398E-1
9.366698580E-1,1.336172223E-2,1.420269012E-1,6.410989761E-1
9.466919500E-1,2.405226231E-3,7.282090187E-2,3.148040771E-1
9.566759960E-1,-6.757155061E-4,-3.456091881E-2,-1.433706284E-1
9.666844810E-1,-3.104977310E-3,-7.028508186E-2,-2.917146683E-1
9.766760310E-1,1.154653728E-3,-2.489185333E-2,-1.028881073E-1
9.866892670E-1,-4.555821419E-3,2.679491043E-2,1.065816879E-1
9.968297510E-1,-2.516597509E-2,1.123392582E-1,4.604778290E-1
1.006771281E0,-1.779712737E-2,1.723763943E-1,7.682657242E-1
1.016716219E0,1.052524149E-1,2.229068279E-1,6.968679428E-1
1.026688150E0,-2.601158619E-2,8.794879913E-2,3.572683334E-1
1.036702769E0,1.003674567E-1,-4.127407074E-2,1.338768005E-2
1.046720155E0,1.283686757E-1,3.189086914E-2,-2.582635880E-1
1.056693291E0,1.319491416E-1,1.745295525E-2,-1.284675598E-1
1.066681724E0,5.764691532E-2,-5.947899818E-2,-2.583694458E-2
1.076703460E0,2.695088089E-2,2.262830734E-3,-1.236925125E-1
1.086676886E0,-7.843825966E-2,8.520412445E-2,-2.117109299E-1
1.096671983E0,-1.723177582E-1,7.710742950E-2,-3.232135773E-1
1.106669147E0,-1.911990941E-1,2.144598961E-2,-1.833734512E-1
1.116678902E0,-5.569412559E-2,-1.889419556E-2,-1.592636108E-4
1.126681760E0,-1.436208934E-1,2.269768715E-2,3.537178040E-2
1.136665286E0,-2.105756104E-1,-2.040171623E-2,-1.245613098E-1
1.146665799E0,-6.478485465E-2,-3.265881538E-2,-9.150981903E-2
1.156678305E0,-1.638828814E-1,8.155107498E-2,1.327905655E-1
1.166667443E0,-1.700308025E-1,1.050562859E-1,4.720802307E-1
1.176654916E0,-1.282181740E-1,1.397156715E-2,6.037473679E-1
1.186665575E0,-1.873531640E-1,6.961297989E-2,5.684776306E-1
1.196659558E0,-1.469786167E-1,1.153934002E-1,6.161041260E-1
1.206669242E0,-3.753747046E-2,1.808953285E-2,3.800821304E-1
1.216657680E0,-5.475541949E-2,-3.661322594E-2,2.544279099E-1
1.226666380E0,-2.691152692E-2,5.013370514E-2,3.498172760E-2
1.236674615E0,-7.105888426E-2,5.235266685E-2,-2.022237778E-1
1.246665059E0,-1.704840362E-2,-3.159189224E-2,-7.851123810E-2
1.256683897E0,5.680575967E-3,-6.845903397E-2,3.034114838E-2
1.266717373E0,-7.766538858E-2,2.352833748E-2,-1.047925949E-1
1.276724707E0,-7.541135699E-2,7.099509239E-2,-2.930622101E-1
1.286701951E0,-1.776606590E-2,4.585671425E-2,-3.008975983E-1
1.296711362E0,4.621827602E-2,-5.896091461E-4,-7.437610626E-2
1.306859298E0,-6.311120093E-2,1.458311081E-2,2.068624496E-1
1.316771112E0,-1.197288781E-1,1.699638367E-2,1.755561829E-1
1.326719673E0,-2.552521229E-2,-9.531021118E-3,4.389228821E-1
1.336705261E0,4.003055394E-2,-1.474809647E-2,3.252677917E-1
1.346682594E0,-9.794034064E-2,-1.957583427E-2,1.023149490E-1
1.356669933E0,-1.595994532E-1,6.072044373E-3,4.343891144E-2
1.366683526E0,-2.265789509E-1,5.634307861E-2,1.487455368E-1
1.376703861E0,-2.833802998E-1,3.730988503E-2,-1.438140869E-3
1.386676663E0,-1.762390286E-1,-2.833700180E-2,-3.556203842E-1
1.396701199E0,-5.100169033E-2,-4.165959358E-2,-2.555799484E-1
1.406698851E0,-6.489652395E-2,-1.562690735E-2,-7.038402557E-2
1.416683773E0,-1.010818481E-1,5.695724487E-2,-1.301555634E-1
1.426668177E0,-1.658778042E-1,1.434993744E-2,-7.070446014E-2
1.436662032E0,-1.927480549E-1,2.264976501E-4,2.023124695E-1
1.446672133E0,-2.000711411E-1,3.406906128E-2,5.899829865E-1
1.456667145E0,-1.855809689E-1,1.225345135E-1,9.216938019E-1
1.466670016E0,-8.303463459E-2,2.708101273E-2,6.065378189E-1
1.476685913E0,-1.706323028E-2,-4.081368446E-2,2.317686081E-1
1.486673516E0,-2.677053213E-2,-2.405858040E-2,-4.494857788E-2
1.496669644E0,-2.878651023E-2,-3.781318665E-4,-2.138872147E-1
1.506659516E0,-5.409075320E-2,4.975795746E-2,-2.121505737E-1
1.516659202E0,-1.320178509E-1,7.759404182E-2,-2.043657303E-1
1.526678641E0,-1.744163632E-1,2.111577988E-2,-1.816434860E-1
1.536674937E0,-5.450688303E-2,6.240606308E-2,1.665744781E-1
1.546678278E0,-1.662159711E-1,9.417200089E-2,4.298124313E-1
1.556667910E0,-1.915605962E-1,8.117318153E-2,5.836105347E-1
1.566697649E0,-3.771930933E-3,3.760719299E-2,5.017099380E-1
1.576703865E0,1.962675154E-2,-2.100253105E-2,3.119277954E-1
1.586685203E0,4.733056575E-2,-3.122806549E-2,2.036876678E-1
1.596703430E0,-1.212061942E-2,4.934096336E-2,1.292877197E-1
1.606706197E0,-4.639174044E-2,2.316546440E-2,8.667564392E-2
1.616712946E0,-1.638264060E-1,5.513787270E-2,5.506057739E-1
1.626694725E0,-1.362976730E-1,9.663891792E-2,6.563158035E-1
1.636676729E0,-1.901838332E-1,8.510565758E-2,-1.451969147E-1
1.646675251E0,-1.788221598E-1,5.948066711E-2,-4.869709015E-1
1.656697877E0,-1.104174554E-2,-3.470039368E-2,-3.453025818E-1
1.666694305E0,1.064989939E-1,2.227783203E-3,1.172580719E-1
1.676684231E0,-1.851703227E-2,1.842770576E-1,7.104139328E-1
1.686708329E0,-9.665861726E-2,1.116662025E-1,5.822114944E-1
1.696718204E0,-3.038869798E-2,5.354642868E-2,3.971862793E-1
1.706715104E0,5.866482854E-2,-5.028867722E-2,-2.304077148E-3
1.716695284E0,1.371787786E-1,-6.557774544E-2,-3.292541504E-1
1.726704586E0,6.574109197E-2,-7.598400116E-3,-6.447963715E-1
1.736692929E0,-1.336101294E-1,-1.150047779E-1,-5.846967697E-1
1.746704793E0,-1.249779612E-1,-1.701419353E-1,-3.376636505E-1
1.756684206E0,-1.440491825E-1,-3.229784966E-2,-2.947807312E-2
1.766689528E0,-1.403104067E-1,9.116673470E-2,1.352891922E-1
1.776687496E0,4.854728281E-2,2.696824074E-2,2.368412018E-1
1.786723346E0,5.729567260E-2,-3.508162498E-2,3.573522568E-1
1.796727251E0,-4.628983885E-2,-2.825021744E-2,2.320909500E-1
1.806719050E0,-1.058204621E-1,2.013087273E-2,-8.192062378E-3
1.816733488E0,-1.287625283E-1,5.686450005E-2,-1.005945206E-1
1.826707207E0,-1.013600379E-1,2.257204056E-2,-1.376895905E-1
1.836793278E0,9.079568088E-3,-8.005356789E-2,-4.637451172E-1
1.846769429E0,-4.229556769E-2,-1.488566399E-1,-5.525636673E-1
1.856740139E0,-8.850606531E-2,-1.412141323E-1,-2.895336151E-1
1.866699686E0,-1.078578383E-1,-9.494614601E-2,-1.293735504E-1
1.876706018E0,-1.242905110E-1,-4.493474960E-2,7.703208923E-2
1.886708510E0,2.607010677E-2,-9.413576126E-2,1.749925613E-1
1.896725603E0,1.006369293E-1,-8.896732330E-2,1.150827408E-1
1.906704861E0,3.169050813E-2,-8.975982666E-3,8.795070648E-2
1.916715259E0,-6.912690401E-2,4.349255562E-2,4.981231689E-2
1.926711785E0,-1.148317233E-1,2.139759064E-2,-9.825611115E-2
1.936723932E0,-1.459965557E-1,3.699779510E-2,-2.008810043E-1
1.946701333E0,-1.159280837E-1,3.009629250E-2,-8.863830566E-2
1.956680918E0,-8.715127409E-2,-5.846714973E-2,1.744871140E-1
1.966698980E0,3.201118112E-2,-9.585332870E-2,2.018232346E-1
1.976683261E0,2.671842650E-2,-3.330802917E-2,-1.433029175E-1
1.986684555E0,-3.512496129E-2,-5.481481552E-2,1.936187744E-1
1.996680183E0,-9.497310221E-2,2.139377594E-2,4.581556320E-1
2.006669285E0,-5.520232767E-2,1.434874535E-1,5.666751862E-1
2.016703144E0,5.679197609E-2,1.232178211E-1,4.414997101E-1
2.026713381E0,2.724625170E-3,1.484830379E-1,1.613798141E-1
2.036699403E0,-9.382694960E-2,1.806054115E-1,-6.529808044E-2
2.046716491E0,-1.118015125E-2,8.276963234E-2,-3.058319092E-1
2.056696228E0,5.221170187E-2,5.883955956E-2,-7.826423645E-2
2.066709904E0,-1.103298664E-1,6.322979927E-2,2.334032059E-1
2.076683626E0,-1.743272394E-1,8.392786980E-2,4.375972748E-1
2.086697757E0,-8.967784047E-2,8.294939995E-2,6.035213470E-1
2.096741053E0,-8.662126958E-3,7.660126686E-2,6.597852707E-1
2.106701393E0,2.545832098E-2,7.423233986E-2,4.666919708E-1
2.116715102E0,1.210837811E-2,6.113386154E-2,1.452350616E-1
2.126695360E0,-1.467186213E-2,3.863453865E-2,1.535539627E-1
2.136769104E0,-3.937636688E-2,8.706808090E-2,3.611259460E-1
2.146730188E0,-1.062235832E-1,2.029719353E-1,2.486724854E-1
2.156704211E0,-1.334571540E-1,1.837651730E-1,-1.077356339E-1
2.166710357E0,-4.484074563E-2,8.285021782E-2,-2.207784653E-1
2.176719372E0,-8.726882190E-2,6.003379822E-2,-2.103166580E-1
2.186728841E0,-1.389524639E-1,1.168367863E-1,-1.081380844E-1
2.196704672E0,-1.080991179E-1,1.153724194E-1,-2.047863007E-1
2.206710972E0,5.593154579E-3,2.514195442E-2,-7.095623016E-2
2.216722680E0,1.254360378E-1,-8.137392998E-2,1.579122543E-1
2.226728745E0,5.280681700E-2,-4.880118370E-2,4.022998810E-1
2.236725989E0,-3.897473961E-2,7.044649124E-2,3.745555878E-1
2.246739265E0,-5.600097403E-2,4.008913040E-2,1.804189682E-1
2.256730057E0,1.691237465E-2,1.273369789E-2,8.822536469E-2
2.266734011E0,-8.663269132E-2,2.988672256E-2,3.099536896E-2
2.276704738E0,-3.863035515E-2,1.115117073E-1,8.391571045E-2
2.286693063E0,-4.067640752E-3,7.749843597E-2,7.116413116E-2
2.296690533E0,-1.184367836E-1,2.102994919E-2,-5.482807159E-1
2.306678402E0,-1.456362456E-1,2.923226357E-2,-4.428997040E-1
2.316693318E0,-1.989360154E-1,-3.107166290E-2,-1.199016571E-1
2.326700218E0,-3.068579361E-2,-1.412370205E-1,3.152132034E-1
2.336711764E0,7.925005257E-2,-1.872646809E-1,5.625381470E-1
2.346718133E0,4.623691738E-2,-6.269001961E-2,5.272464752E-1
2.356689145E0,1.500549763E-1,-4.005575180E-2,4.256134033E-1
2.366684093E0,1.536307633E-1,-1.338331699E-1,2.734804153E-1
2.376699317E0,1.732526720E-1,-1.353139877E-1,9.167098999E-2
2.386684717E0,1.665810645E-1,-7.183098793E-2,7.078742981E-2
2.396685687E0,8.788269758E-2,-3.232026100E-2,1.343545914E-1
